win/lose,game_mode,game_date,game_duration,champion,role,CS,kills,deaths,assists,Vision Score,KP,Summoner Spell 1,Summoner Spell 2,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Ward,KDA,CS/min
Defeat,Normal (Draft Pick),2025-01-19,00:50:45,Kai'Sa,Adc,268,16,19,19,24,57%,Flash,Barrier,Terminus,Zhonya's Hourglass,Guinsoo's Rageblade,Nashor's Tooth,Gunmetal Greaves,Kraken Slayer,Stealth Ward,1.84,5.28
Victory,Normal (Draft Pick),2025-01-18,00:37:16,Syndra,Mid,257,11,4,11,22,51%,Flash,Teleport,Blasting Wand,Blackfire Torch,Sorcerer's Shoes,Cosmic Drive,Rabadon's Deathcap,Blighting Jewel,Farsight Alteration,5.5,6.9
Defeat,Normal (Draft Pick),2025-01-18,00:39:44,Hwei,Mid,264,8,9,7,12,38%,Flash,Teleport,Blackfire Torch,Shattered Armguard,Sorcerer's Shoes,Liandry's Torment,Shadowflame,Rabadon's Deathcap,Farsight Alteration,1.67,6.64
Defeat,Normal (Draft Pick),2025-01-17,00:00:00,Lux,Mid,0,0,0,0,0,None,Flash,Teleport,None,None,None,None,None,None,None,0.0,0.0
Defeat,Normal (Draft Pick),2025-01-14,00:31:49,Aurelion Sol,Mid,143,6,11,7,23,39%,Flash,Teleport,Seraph's Embrace,Rylai's Crystal Scepter,Liandry's Torment,Sorcerer's Shoes,None,None,Stealth Ward,1.18,4.49
Victory,Normal (Draft Pick),2025-01-14,00:22:26,Kai'Sa,Adc,198,5,4,4,8,24%,Flash,Barrier,Doran's Blade,Guinsoo's Rageblade,Gunmetal Greaves,Statikk Shiv,Recurve Bow,Blasting Wand,Stealth Ward,2.25,8.83
Defeat,Normal (Draft Pick),2025-01-14,00:15:44,Kai'Sa,Adc,115,0,4,3,3,43%,Flash,Barrier,Doran's Blade,Health Potion,Berserker's Greaves,Kraken Slayer,Dagger,None,Stealth Ward,0.75,7.31
Victory,Normal (Draft Pick),2025-01-14,00:29:10,Jhin,Adc,148,11,8,10,21,64%,Flash,Barrier,Rapid Firecannon,Swiftmarch,The Collector,Serpent's Fang,B. F. Sword,Pickaxe,Stealth Ward,2.62,5.07
Defeat,Normal (Draft Pick),2025-01-14,00:24:49,Zoe,Adc,51,1,11,3,43,29%,Flash,Ignite,Zaz'Zak's Realmspike,Health Potion,Luden's Companion,Blasting Wand,Sorcerer's Shoes,Amplifying Tome,Oracle Lens,0.36,2.06
Victory,Normal (Draft Pick),2025-01-11,00:31:36,Vayne,Adc,218,13,8,6,18,56%,Flash,Barrier,Guinsoo's Rageblade,Blade of The Ruined King,Berserker's Greaves,Terminus,"Jak'Sho, The Protean",None,Stealth Ward,2.38,6.9
Defeat,Normal (Draft Pick),2025-01-11,00:28:04,Kai'Sa,Adc,166,1,8,5,14,38%,Flash,Barrier,Guinsoo's Rageblade,Hearthbound Axe,Kraken Slayer,Berserker's Greaves,Recurve Bow,None,Stealth Ward,0.75,5.91
Defeat,Normal (Draft Pick),2025-01-11,00:33:31,Lux,Mid,259,12,5,13,15,56%,Flash,Teleport,Shadowflame,Malignance,Stormsurge,Spellslinger's Shoes,Needlessly Large Rod,Needlessly Large Rod,Stealth Ward,5.0,7.73
Victory,Normal (Draft Pick),2025-01-10,00:24:06,Lux,Mid,153,4,1,12,10,64%,Flash,Teleport,Doran's Ring,Health Potion,Malignance,Sorcerer's Shoes,Stormsurge,None,Stealth Ward,16.0,6.35
Defeat,Normal (Draft Pick),2025-01-10,00:24:40,Swain,Adc,174,4,9,6,13,56%,Flash,Barrier,Doran's Ring,Shattered Armguard,Boots of Swiftness,Cosmic Drive,Blackfire Torch,None,Stealth Ward,1.11,7.05
Defeat,Normal (Draft Pick),2025-01-10,00:24:22,Zoe,Support,34,3,12,8,20,73%,Flash,Ignite,Zaz'Zak's Realmspike,Luden's Companion,Hextech Alternator,Sorcerer's Shoes,Aether Wisp,None,Oracle Lens,0.92,1.4
Victory,Normal (Draft Pick),2025-01-10,00:31:05,Miss Fortune,Adc,207,6,5,8,21,40%,Flash,Barrier,Doran's Blade,Bloodthirster,Boots of Swiftness,Infinity Edge,Serpent's Fang,Cloth Armor,Stealth Ward,2.8,6.66
Victory,Normal (Draft Pick),2025-01-10,00:30:55,Ezreal,Adc,201,2,3,8,18,43%,Flash,Barrier,Muramana,Crimson Lucidity,Last Whisper,Trinity Force,Glowing Mote,Long Sword,Stealth Ward,3.33,6.5
Victory,Normal (Draft Pick),2025-01-09,00:33:46,Warwick,Top,220,9,3,11,18,57%,Flash,Teleport,Sterak's Gage,Stridebreaker,Blade of The Ruined King,Plated Steelcaps,Thornmail,None,Stealth Ward,6.67,6.52
Defeat,Normal (Draft Pick),2025-01-09,00:15:47,Kai'Sa,Adc,96,2,3,1,6,50%,Flash,Barrier,Doran's Blade,Berserker's Greaves,Kraken Slayer,Recurve Bow,Amplifying Tome,None,Stealth Ward,1.0,6.08
Defeat,ARAM,2025-01-09,00:30:31,Kai'Sa,Adc,132,12,13,40,0,63%,Flash,Barrier,Luden's Companion,Nashor's Tooth,Muramana,Sorcerer's Shoes,Shadowflame,Rabadon's Deathcap,None,4.0,4.33
Victory,Normal (Draft Pick),2025-01-07,00:25:39,Zoe,Support,53,10,3,14,27,48%,Flash,Ignite,Zaz'Zak's Realmspike,Luden's Companion,Sorcerer's Shoes,Stormsurge,None,None,Oracle Lens,8.0,2.07
Victory,Soloqueue,2025-01-07,00:28:29,Kai'Sa,Adc,247,21,3,5,18,70%,Flash,Barrier,Vampiric Scepter,Kraken Slayer,Berserker's Greaves,Guinsoo's Rageblade,Nashor's Tooth,Terminus,Stealth Ward,8.67,8.67
Victory,Soloqueue,2025-01-07,00:33:28,Hwei,Mid,236,11,5,10,20,47%,Flash,Teleport,Needlessly Large Rod,Liandry's Torment,Blackfire Torch,Shadowflame,Sorcerer's Shoes,None,Stealth Ward,4.2,7.05
Defeat,Soloqueue,2025-01-07,00:28:10,Lux,Support,31,2,5,16,47,82%,Flash,Heal,Zaz'Zak's Realmspike,Stormsurge,Luden's Companion,Sorcerer's Shoes,Amplifying Tome,None,Oracle Lens,3.6,1.1
Defeat,Soloqueue,2025-01-07,00:30:10,Viktor,Mid,178,3,6,6,16,39%,Flash,Teleport,Lich Bane,Blackfire Torch,Sorcerer's Shoes,Needlessly Large Rod,None,None,Stealth Ward,1.5,5.9
Defeat,Soloqueue,2025-01-07,00:31:48,Ezreal,Adc,194,2,6,6,13,42%,Flash,Barrier,Bloodthirster,Muramana,Trinity Force,Ionian Boots of Lucidity,None,None,Farsight Alteration,1.33,6.1
Victory,Normal (Draft Pick),2025-01-07,00:29:27,Udyr,Jungle,183,11,5,13,18,56%,Flash,Smite,Dead Man's Plate,Liandry's Torment,Boots of Swiftness,Abyssal Mask,Giant's Belt,Negatron Cloak,Oracle Lens,4.8,6.21
Defeat,Normal (Draft Pick),2025-01-07,00:42:27,Aurora,Mid,270,7,13,15,17,47%,Flash,Teleport,Rabadon's Deathcap,Zhonya's Hourglass,Sorcerer's Shoes,Shadowflame,Luden's Companion,Glowing Mote,Stealth Ward,1.69,6.36
Defeat,Normal (Draft Pick),2025-01-06,00:35:37,Kai'Sa,Adc,265,8,6,6,16,40%,Flash,Barrier,Nashor's Tooth,Kraken Slayer,Berserker's Greaves,Guinsoo's Rageblade,Terminus,Vampiric Scepter,Stealth Ward,2.33,7.44
Victory,Normal (Draft Pick),2025-01-06,00:32:27,Kai'Sa,Adc,246,12,8,11,26,49%,Flash,Barrier,Berserker's Greaves,Guinsoo's Rageblade,Kraken Slayer,Terminus,Nashor's Tooth,Vampiric Scepter,Stealth Ward,2.88,7.58
Victory,Normal (Draft Pick),2025-01-04,00:40:12,Viktor,Mid,241,11,8,16,29,50%,Flash,Teleport,Hextech Alternator,Zhonya's Hourglass,Sorcerer's Shoes,Lich Bane,Rabadon's Deathcap,Blackfire Torch,Stealth Ward,3.38,6.0
Defeat,ARAM,2024-12-25,00:19:41,Illaoi,Top,38,4,18,13,0,50%,Flash,Mark,Sundered Sky,Plated Steelcaps,Iceborn Gauntlet,Sterak's Gage,Bramble Vest,None,None,0.94,1.93
Defeat,ARAM,2024-12-25,00:12:56,Varus,Support,37,8,9,14,0,56%,Flash,Barrier,The Collector,Muramana,Ionian Boots of Lucidity,Serylda's Grudge,Long Sword,None,Poro-Snax,2.44,2.86
Defeat,ARAM,2024-12-25,00:16:41,Caitlyn,Top,30,11,15,18,0,71%,Flash,Barrier,The Collector,Berserker's Greaves,Rapid Firecannon,Infinity Edge,Vampiric Scepter,None,Poro-Snax,1.93,1.8
Defeat,Normal (Draft Pick),2024-12-25,00:36:26,Zoe,Mid,192,5,10,7,21,43%,Flash,Ignite,Rabadon's Deathcap,Luden's Companion,Sorcerer's Shoes,Lich Bane,Hextech Alternator,None,Stealth Ward,1.2,5.27
Victory,ARAM,2024-12-25,00:12:16,Aurora,Top,30,12,4,25,0,71%,Flash,Mark,Malignance,Kindlegem,Sorcerer's Shoes,Liandry's Torment,Fiendish Codex,Aether Wisp,Poro-Snax,9.25,2.45
Victory,ARAM,2024-12-25,00:20:32,Fiddlesticks,Jungle,40,16,12,35,5,69%,Flash,Mark,Malignance,Zhonya's Hourglass,Sorcerer's Shoes,Liandry's Torment,Shadowflame,Giant's Belt,Scarecrow Effigy,4.25,1.95
Defeat,ARAM,2024-12-25,00:17:45,Swain,Mid,16,6,18,14,0,49%,Flash,Mark,Malignance,Zhonya's Hourglass,Sorcerer's Shoes,Rylai's Crystal Scepter,Amplifying Tome,Amplifying Tome,Poro-Snax,1.11,0.9
Victory,Normal (Quickplay),2024-12-23,00:15:57,Viktor,Mid,131,2,1,1,6,14%,Flash,Teleport,Doran's Ring,Sorcerer's Shoes,Blackfire Torch,Haunting Guise,None,None,Stealth Ward,3.0,8.21
Defeat,Normal (Quickplay),2024-12-23,00:09:18,Viktor,Mid,51,0,2,0,1,None,Flash,Teleport,Doran's Ring,Lost Chapter,Amplifying Tome,None,None,None,Stealth Ward,0.0,5.48
Victory,Normal (Quickplay),2024-12-23,00:34:37,Ezreal,Adc,224,11,6,12,21,66%,Flash,Barrier,Muramana,Bloodthirster,Ionian Boots of Lucidity,Trinity Force,Serylda's Grudge,None,Stealth Ward,3.83,6.47
Defeat,Normal (Quickplay),2024-12-23,00:17:03,Ezreal,Adc,93,0,7,1,7,8%,Flash,Barrier,Tear of the Goddess,Trinity Force,Ionian Boots of Lucidity,None,None,None,Stealth Ward,0.14,5.45
Victory,ARAM,2024-12-23,00:20:51,Heimerdinger,Jungle,50,10,11,34,0,67%,Flash,Barrier,Blackfire Torch,Rylai's Crystal Scepter,Liandry's Torment,Rabadon's Deathcap,Sorcerer's Shoes,None,None,4.0,2.4
Defeat,ARAM,2024-12-23,00:23:43,Viktor,Support,55,12,11,34,0,85%,Flash,Barrier,Luden's Companion,Rabadon's Deathcap,Sorcerer's Shoes,Lich Bane,Shadowflame,Blasting Wand,None,4.18,2.32
Victory,ARAM,2024-12-22,00:27:02,Brand,Top,118,14,14,26,0,57%,Flash,Mark,Blackfire Torch,Rylai's Crystal Scepter,Sorcerer's Shoes,Liandry's Torment,Shadowflame,Rabadon's Deathcap,Poro-Snax,2.86,4.36
Victory,ARAM,2024-12-20,00:15:00,Twisted Fate,Top,28,5,5,29,0,87%,Flash,Barrier,Luden's Companion,Refillable Potion,Sorcerer's Shoes,Lich Bane,Zeal,Scout's Slingshot,Poro-Snax,6.8,1.87
Defeat,ARAM,2024-12-20,00:22:26,Naafiri,Top,64,24,16,22,0,61%,Flash,Mark,The Collector,Profane Hydra,Ionian Boots of Lucidity,Eclipse,Serylda's Grudge,Edge of Night,Poro-Snax,2.88,2.85
Defeat,Normal (Draft Pick),2024-12-15,00:24:23,Viktor,Mid,198,2,9,2,10,24%,Flash,Teleport,Doran's Ring,Blackfire Torch,Sorcerer's Shoes,Liandry's Torment,Aether Wisp,Sheen,Stealth Ward,0.44,8.12
Victory,Normal (Draft Pick),2024-12-14,00:46:08,Viktor,Mid,364,11,8,16,31,47%,Flash,Teleport,Rabadon's Deathcap,Zhonya's Hourglass,Luden's Companion,Lich Bane,Force of Nature,Shadowflame,Farsight Alteration,3.38,7.89
Victory,Normal (Draft Pick),2024-12-14,00:06:32,Viktor,Mid,47,0,1,2,0,29%,Flash,Teleport,Doran's Ring,Health Potion,Total Biscuit of Everlasting Will,Lost Chapter,None,None,Stealth Ward,2.0,7.19
Defeat,Normal (Draft Pick),2024-12-14,00:23:08,Sylas,Mid,137,9,6,2,9,79%,Flash,Teleport,Zhonya's Hourglass,Hextech Rocketbelt,Sorcerer's Shoes,Lich Bane,Doran's Ring,None,Stealth Ward,1.83,5.92
Victory,Normal (Draft Pick),2024-12-14,00:15:26,Zoe,Support,28,9,1,6,4,68%,Flash,Ignite,Zaz'Zak's Realmspike,Luden's Companion,Sorcerer's Shoes,Stormsurge,Amplifying Tome,None,Stealth Ward,15.0,1.81
Victory,Normal (Draft Pick),2024-12-14,00:32:08,Lux,Mid,279,7,2,7,14,34%,Flash,Teleport,Needlessly Large Rod,Malignance,Stormsurge,Sorcerer's Shoes,Rabadon's Deathcap,Shadowflame,Stealth Ward,7.0,8.68
Defeat,ARAM,2024-12-14,00:14:11,Vel'Koz,Top,17,7,9,9,0,48%,Flash,Barrier,Malignance,Refillable Potion,Ionian Boots of Lucidity,Liandry's Torment,Needlessly Large Rod,None,Poro-Snax,1.78,1.2
Victory,ARAM,2024-12-14,00:18:12,Lucian,Jungle,179,26,11,16,0,76%,Flash,Barrier,Statikk Shiv,Ionian Boots of Lucidity,The Collector,Infinity Edge,Bloodthirster,Navori Flickerblade,None,3.82,9.84
Victory,Normal (Draft Pick),2024-12-13,00:37:01,Caitlyn,Adc,254,9,10,9,17,38%,Flash,Barrier,Infinity Edge,The Collector,Boots of Swiftness,Mortal Reminder,Bloodthirster,None,Farsight Alteration,1.8,6.86
Victory,Normal (Quickplay),2024-12-12,00:28:56,Viktor,Mid,204,7,4,12,19,51%,Flash,Teleport,Doran's Ring,Blackfire Torch,Sorcerer's Shoes,Liandry's Torment,Rabadon's Deathcap,Blasting Wand,Stealth Ward,4.75,7.05
Remake,Normal (Quickplay),2024-12-12,00:02:22,Viktor,Mid,7,0,0,0,0,None,Flash,Teleport,Doran's Ring,Health Potion,Total Biscuit of Everlasting Will,None,None,None,Stealth Ward,0.0,2.96
Defeat,Normal (Quickplay),2024-12-12,00:17:43,Teemo,Top,110,1,6,0,8,8%,Flash,Ignite,Doran's Ring,Nashor's Tooth,Sorcerer's Shoes,Amplifying Tome,None,None,Stealth Ward,0.17,6.21
Victory,Normal (Quickplay),2024-12-12,00:08:34,Viktor,Mid,60,1,0,0,1,17%,Flash,Teleport,Doran's Ring,Health Potion,Fated Ashes,Lost Chapter,None,None,Stealth Ward,0.0,7.0
Victory,Normal (Draft Pick),2024-12-11,00:32:18,Udyr,Jungle,266,4,0,4,13,21%,Flash,Smite,Boots of Swiftness,Unending Despair,Dark Seal,Liandry's Torment,Heartsteel,Negatron Cloak,Oracle Lens,0.0,8.24
Defeat,Normal (Draft Pick),2024-12-11,00:32:47,Jinx,Adc,242,4,9,5,11,41%,Flash,Barrier,Mortal Reminder,Yun Tal Wildarrows,Infinity Edge,Berserker's Greaves,None,None,Farsight Alteration,1.0,7.38
Defeat,ARAM,2024-12-11,00:12:26,Gragas,Support,28,7,8,20,0,69%,Flash,Mark,Luden's Companion,Refillable Potion,Sorcerer's Shoes,Stormsurge,Needlessly Large Rod,None,Poro-Snax,3.38,2.25
Victory,Normal (Draft Pick),2024-12-10,00:36:13,Ezreal,Adc,252,8,9,6,14,34%,Flash,Barrier,Doran's Blade,Muramana,Trinity Force,Ionian Boots of Lucidity,Spear of Shojin,Last Whisper,Stealth Ward,1.56,6.96
Defeat,ARAM,2024-12-10,00:28:58,Kai'Sa,Adc,153,15,13,24,0,53%,Flash,Barrier,Luden's Companion,Nashor's Tooth,Muramana,Shadowflame,Rabadon's Deathcap,Horizon Focus,Poro-Snax,3.0,5.28
Defeat,ARAM,2024-12-09,00:23:05,Sivir,Jungle,142,5,11,21,0,70%,Flash,Barrier,Berserker's Greaves,Statikk Shiv,Navori Flickerblade,Infinity Edge,Bloodthirster,Last Whisper,Poro-Snax,2.36,6.15
Defeat,Normal (Draft Pick),2024-12-09,00:43:59,Zed,Mid,262,4,15,8,24,31%,Flash,Ignite,Axiom Arc,Voltaic Cyclosword,Ionian Boots of Lucidity,Edge of Night,Eclipse,Serrated Dirk,Stealth Ward,0.8,5.96
Victory,Normal (Draft Pick),2024-12-08,00:35:04,Miss Fortune,Adc,203,11,7,15,11,57%,Flash,Barrier,Lord Dominik's Regards,Hubris,The Collector,Boots of Swiftness,Serpent's Fang,Serrated Dirk,Stealth Ward,3.71,5.79
Defeat,Normal (Draft Pick),2024-12-08,00:38:28,Fiora,Top,261,5,10,5,17,26%,Flash,Teleport,Sterak's Gage,Ravenous Hydra,Plated Steelcaps,Trinity Force,Death's Dance,None,Farsight Alteration,1.0,6.79
Defeat,Normal (Draft Pick),2024-12-08,00:20:37,Ambessa,Top,131,3,6,1,9,36%,Flash,Teleport,Doran's Blade,Eclipse,Plated Steelcaps,Pickaxe,Phage,None,Stealth Ward,0.67,6.35
Victory,Normal (Draft Pick),2024-12-05,00:26:11,Zoe,Mid,141,9,5,9,14,40%,Flash,Ignite,Doran's Ring,Luden's Companion,Sorcerer's Shoes,Lich Bane,Amplifying Tome,Amplifying Tome,Stealth Ward,3.6,5.39
Victory,ARAM,2024-12-04,00:22:13,Aurelion Sol,Adc,39,13,18,38,0,66%,Flash,Barrier,Rylai's Crystal Scepter,Liandry's Torment,Seraph's Embrace,Sorcerer's Shoes,Blackfire Torch,Negatron Cloak,Poro-Snax,2.83,1.76
Defeat,ARAM,2024-12-04,00:11:28,Smolder,Top,26,5,7,10,0,68%,Flash,Barrier,Trinity Force,Muramana,Ionian Boots of Lucidity,None,None,None,Poro-Snax,2.14,2.27
Defeat,ARAM,2024-12-04,00:17:27,Renata Glasc,Mid,26,2,11,36,0,76%,Flash,Exhaust,Imperial Mandate,Seraph's Embrace,Ionian Boots of Lucidity,Malignance,Aether Wisp,Amplifying Tome,Poro-Snax,3.45,1.49
Defeat,ARAM,2024-12-03,00:17:15,Mordekaiser,Jungle,33,8,9,19,0,60%,Flash,Mark,Riftmaker,Mercury's Treads,Rylai's Crystal Scepter,Liandry's Torment,Kindlegem,None,Poro-Snax,3.0,1.91
Defeat,ARAM,2024-12-03,00:16:38,Naafiri,Adc,70,14,14,11,0,64%,Flash,Mark,The Collector,Ionian Boots of Lucidity,Eclipse,Death's Dance,Caulfield's Warhammer,Last Whisper,Poro-Snax,1.79,4.21
Defeat,ARAM,2024-12-03,00:26:19,Tahm Kench,Adc,34,7,16,24,0,53%,Flash,Mark,Heartsteel,Mercury's Treads,Spirit Visage,Unending Despair,Thornmail,Crystalline Bracer,Poro-Snax,1.94,1.29
Defeat,Normal (Draft Pick),2024-12-03,00:41:36,Vayne,Adc,278,7,13,4,14,30%,Flash,Barrier,Negatron Cloak,Blade of The Ruined King,Guinsoo's Rageblade,Berserker's Greaves,Terminus,"Jak'Sho, The Protean",Stealth Ward,0.85,6.68
Victory,Normal (Draft Pick),2024-12-03,00:22:24,Jhin,Adc,150,6,4,8,14,45%,Flash,Barrier,Doran's Blade,The Collector,Boots of Swiftness,Infinity Edge,Cloak of Agility,Dagger,Stealth Ward,3.5,6.7
Victory,ARAM,2024-12-02,00:26:50,Hwei,Mid,104,14,8,34,0,77%,Flash,Barrier,Blackfire Torch,Shadowflame,Liandry's Torment,Sorcerer's Shoes,Rabadon's Deathcap,Void Staff,None,6.0,3.88
Defeat,Normal (Draft Pick),2024-12-01,00:37:51,Pyke,Support,59,7,10,12,63,54%,Flash,Ignite,Bloodsong,Youmuu's Ghostblade,Umbral Glaive,Synchronized Souls,Edge of Night,Serrated Dirk,Oracle Lens,1.9,1.56
Defeat,Normal (Draft Pick),2024-12-01,00:28:33,Swain,Support,59,4,7,9,38,81%,Flash,Ignite,Zaz'Zak's Realmspike,Shattered Armguard,Sorcerer's Shoes,Rylai's Crystal Scepter,Liandry's Torment,Needlessly Large Rod,Oracle Lens,1.86,2.07
Victory,ARAM,2024-11-30,00:13:12,Neeko,Adc,33,6,5,20,0,51%,Flash,Mark,Seeker's Armguard,Hextech Rocketbelt,Ionian Boots of Lucidity,Malignance,Needlessly Large Rod,None,Poro-Snax,5.2,2.5
Victory,Normal (Draft Pick),2024-11-29,00:34:55,Zoe,Mid,198,13,5,11,17,48%,Flash,Ignite,Shadowflame,Sorcerer's Shoes,Luden's Companion,Lich Bane,Needlessly Large Rod,None,Stealth Ward,4.8,5.67
Defeat,Normal (Draft Pick),2024-11-28,00:40:11,Zoe,Adc,73,4,11,12,54,48%,Flash,Ignite,Zaz'Zak's Realmspike,Luden's Companion,Sorcerer's Shoes,Stormsurge,Lich Bane,Needlessly Large Rod,Oracle Lens,1.45,1.82
Remake,Normal (Draft Pick),2024-11-28,00:01:47,Zoe,Mid,0,0,0,0,0,None,Flash,Ignite,World Atlas,Health Potion,None,None,None,None,Stealth Ward,0.0,0.0
Defeat,Normal (Draft Pick),2024-11-28,00:27:59,Jhin,Adc,170,2,8,3,9,21%,Flash,Barrier,Infinity Edge,The Collector,Boots of Swiftness,Scout's Slingshot,Cloak of Agility,Dagger,Stealth Ward,0.62,6.08
Victory,Normal (Draft Pick),2024-11-27,00:29:27,Swain,Adc,174,10,5,12,17,63%,Flash,Ghost,Liandry's Torment,Blackfire Torch,Boots of Swiftness,Cosmic Drive,Blasting Wand,Amplifying Tome,Stealth Ward,4.4,5.91
Victory,ARAM,2024-11-26,00:17:53,Shen,Mid,21,8,6,26,0,81%,Flash,Mark,Heartsteel,Plated Steelcaps,Warmog's Armor,Thornmail,Ruby Crystal,Cloth Armor,Poro-Snax,5.67,1.17
Defeat,Normal (Draft Pick),2024-11-26,00:40:33,Zoe,Mid,245,6,11,14,22,30%,Flash,Ignite,Shadowflame,Luden's Companion,Sorcerer's Shoes,Lich Bane,Rabadon's Deathcap,None,Stealth Ward,1.82,6.04
Victory,Normal (Draft Pick),2024-11-25,00:33:05,Zoe,Mid,199,5,6,12,15,43%,Flash,Ignite,Needlessly Large Rod,Luden's Companion,Stormsurge,Sorcerer's Shoes,Shadowflame,Needlessly Large Rod,Stealth Ward,2.83,6.02
Victory,Normal (Draft Pick),2024-11-25,00:34:17,Lux,Mid,275,11,5,8,19,49%,Flash,Teleport,Rabadon's Deathcap,Luden's Companion,Sorcerer's Shoes,Stormsurge,Shadowflame,None,Farsight Alteration,3.8,8.02
Defeat,Normal (Draft Pick),2024-11-24,00:33:23,Smolder,Adc,248,4,9,4,18,31%,Flash,Barrier,Vampiric Scepter,Essence Reaver,Ionian Boots of Lucidity,Spear of Shojin,Rapid Firecannon,B. F. Sword,Stealth Ward,0.89,7.43
Victory,ARAM,2024-11-24,00:17:11,Zoe,Jungle,67,21,5,25,0,74%,Flash,Ignite,Luden's Companion,Refillable Potion,Stormsurge,Sorcerer's Shoes,Rabadon's Deathcap,Amplifying Tome,Poro-Snax,9.2,3.9
Victory,ARAM,2024-11-24,00:23:06,Orianna,Adc,50,13,10,37,0,79%,Flash,Barrier,Luden's Companion,Blasting Wand,Sorcerer's Shoes,Stormsurge,Rabadon's Deathcap,Blighting Jewel,None,5.0,2.16
Defeat,Normal (Draft Pick),2024-11-24,00:37:45,Smolder,Adc,228,7,14,23,15,56%,Flash,Barrier,Bloodthirster,Spear of Shojin,Essence Reaver,Ionian Boots of Lucidity,Rapid Firecannon,Last Whisper,Stealth Ward,2.14,6.04
Defeat,Normal (Draft Pick),2024-11-23,00:30:46,Tahm Kench,Top,193,6,4,4,14,42%,Flash,Teleport,Chain Vest,Heartsteel,Boots of Swiftness,Riftmaker,Thornmail,Kindlegem,Stealth Ward,2.5,6.27
Defeat,Normal (Draft Pick),2024-11-23,00:15:41,Zed,Mid,116,4,4,0,3,44%,Flash,Ignite,Voltaic Cyclosword,Ionian Boots of Lucidity,Serrated Dirk,Caulfield's Warhammer,None,None,Stealth Ward,1.0,7.4
Defeat,Normal (Draft Pick),2024-11-23,00:19:32,Veigar,Mid,148,3,5,0,7,21%,Flash,Teleport,Doran's Ring,Rod of Ages,Tear of the Goddess,Sorcerer's Shoes,Lost Chapter,Fiendish Codex,Stealth Ward,0.6,7.58
Defeat,ARAM,2024-11-22,00:12:46,Ezreal,Mid,40,9,4,21,0,91%,Flash,Barrier,Trinity Force,Muramana,Last Whisper,Ionian Boots of Lucidity,Long Sword,None,Poro-Snax,7.5,3.13
Victory,Normal (Draft Pick),2024-11-22,00:49:18,Warwick,Jungle,278,25,10,22,25,73%,Flash,Smite,Blade of The Ruined King,Stridebreaker,Thornmail,Plated Steelcaps,Spirit Visage,"Jak'Sho, The Protean",Oracle Lens,4.7,5.64
Victory,Normal (Quickplay),2024-11-21,00:17:22,Ambessa,Top,118,3,3,4,4,23%,Flash,Teleport,Doran's Blade,Tiamat,Ionian Boots of Lucidity,Eclipse,Long Sword,Glowing Mote,Stealth Ward,2.33,6.79
Defeat,Normal (Quickplay),2024-11-21,00:39:37,Ambessa,Top,263,7,10,7,27,42%,Flash,Teleport,Eclipse,Ravenous Hydra,Plated Steelcaps,Death's Dance,Spear of Shojin,Phage,Stealth Ward,1.4,6.64
Defeat,ARAM,2024-11-21,00:17:52,Xayah,Adc,72,8,14,16,0,49%,Flash,Mark,Berserker's Greaves,Kraken Slayer,Navori Flickerblade,Infinity Edge,Vampiric Scepter,None,Poro-Snax,1.71,4.03
Defeat,ARAM,2024-11-20,00:20:49,Ambessa,Mid,58,12,15,20,0,53%,Flash,Mark,Eclipse,Ravenous Hydra,Ionian Boots of Lucidity,Spear of Shojin,Death's Dance,Long Sword,Poro-Snax,2.13,2.79
Victory,ARAM,2024-11-19,00:14:47,Kai'Sa,Mid,33,9,9,25,0,65%,Flash,Barrier,Luden's Companion,Refillable Potion,Muramana,Sorcerer's Shoes,Nashor's Tooth,Amplifying Tome,Poro-Snax,3.78,2.23
Defeat,ARAM,2024-11-19,00:19:54,Zoe,Jungle,45,25,15,23,0,74%,Flash,Ignite,Luden's Companion,Shadowflame,Sorcerer's Shoes,Stormsurge,Rabadon's Deathcap,Seeker's Armguard,Poro-Snax,3.2,2.26
Defeat,ARAM,2024-11-18,00:17:27,Illaoi,Adc,23,7,15,16,0,64%,Flash,Mark,Sundered Sky,Mercury's Treads,Iceborn Gauntlet,Spirit Visage,None,None,Poro-Snax,1.53,1.32
Victory,Normal (Draft Pick),2024-11-18,00:29:36,Corki,Adc,196,11,5,5,15,62%,Flash,Barrier,Lord Dominik's Regards,The Collector,Plated Steelcaps,Tear of the Goddess,Infinity Edge,Vampiric Scepter,Stealth Ward,3.2,6.62
Defeat,Normal (Draft Pick),2024-11-18,00:28:38,Corki,Adc,196,9,7,5,17,67%,Flash,Barrier,Rapid Firecannon,Muramana,Trinity Force,Pickaxe,Plated Steelcaps,None,Farsight Alteration,2.0,6.85
Defeat,Normal (Draft Pick),2024-11-18,00:28:19,Katarina,Mid,155,11,7,4,14,68%,Flash,Teleport,Needlessly Large Rod,Lich Bane,Sorcerer's Shoes,Dark Seal,Shadowflame,Needlessly Large Rod,Stealth Ward,2.14,5.47
Defeat,Normal (Draft Pick),2024-11-17,00:35:51,Lux,Mid,229,5,7,9,19,50%,Flash,Teleport,Rabadon's Deathcap,Health Potion,Luden's Companion,Sorcerer's Shoes,Stormsurge,Amplifying Tome,Farsight Alteration,2.0,6.39
